Target Function,Redundant Iterations
ea,441
ack,639
aphe,381
be,666
bo1,648
bo2,647
bo3,650
boo,666
cit,665
dj1,368
dw,642
eh,645
g8,635
hb,667
ht,637
mat,298
mcc,565
l13,668
ra,648
rv,655
sch2,649
sch6,570
shcb,659
st,643
thcb,363
zak,363
