         373219672 function calls (373215566 primitive calls) in 290.084 seconds

   Ordered by: cumulative time
   List reduced from 127 to 10 due to restriction <10>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  290.084  290.084 /Users/simplevia/Desktop/i-gwo/3.py:160(simulate_scalability)
        1    0.074    0.074  290.083  290.083 /Users/simplevia/Desktop/i-gwo/3.py:132(improved_grey_wolf_optimizer)
     1001  119.999    0.120  285.941    0.286 /Users/simplevia/Desktop/i-gwo/3.py:108(improve_position)
 40041001   15.269    0.000   97.721    0.000 /Users/simplevia/Desktop/i-gwo/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3369(prod)
 41242406   29.247    0.000   84.221    0.000 /Users/simplevia/Desktop/i-gwo/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
 20024007    9.832    0.000   51.525    0.000 /Users/simplevia/Desktop/i-gwo/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2250(clip)
 20033018    4.970    0.000   41.705    0.000 /Users/simplevia/Desktop/i-gwo/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
 41242407   38.813    0.000   38.813    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 20020000    8.358    0.000   34.885    0.000 {method 'clip' of 'numpy.generic' objects}
 20024007   26.665    0.000   26.665    0.000 /Users/simplevia/Desktop/i-gwo/venv/lib/python3.12/site-packages/numpy/_core/_methods.py:100(_clip)


